count	time
4568	2615402
4569	2615469
4570	2615486
4571	2615533
4572	2615589
4573	2615754
4574	2615801
4575	2615804
4576	2615954
4577	2615994
4578	2616050
4579	2616227
4580	2616405
4581	2616532
4582	2616613
4583	2616677
4584	2616848
4585	2616949
4586	2616958
4587	2617029
4588	2617061
4589	2617075
4590	2617132
4591	2617162
4592	2617216
4593	2617283
4594	2617299
4595	2617381
4596	2617385
4597	2617398
4598	2617405
4599	2617501
4600	2617580
4601	2617614
4602	2617659
4603	2617788
4604	2617790
4605	2617850
4606	2617873
4607	2617908
4608	2617979
4609	2618005
4610	2618023
4611	2618051
4612	2618055
4613	2618145
4614	2618151
4615	2618217
4616	2618217
4617	2618299
4618	2618419
4619	2618463
4620	2618619
4621	2618622
4622	2618632
4623	2618754
4624	2618818
4625	2618841
4626	2618898
4627	2618907
4628	2618934
4629	2618982
4630	2619072
4631	2619103
4632	2619139
4633	2619203
4634	2619270
4635	2619386
4636	2619409
4637	2619424
4638	2619463
4639	2619591
4640	2619594
4641	2619604
4642	2619622
4643	2619706
4644	2619769
4645	2619861
4646	2619880
4647	2619903
4648	2620003
4649	2620028
4650	2620039
4651	2620040
4652	2620108
4653	2620212
4654	2620215
4655	2620244
4656	2620253
4657	2620389
4658	2620425
4659	2620468
4660	2620665
4661	2620692
4662	2620880
4663	2620885
4664	2620889
4665	2620891
4666	2620978
4667	2621093
4668	2621095
4669	2621104
4670	2621140
4671	2621272
4672	2621275
4673	2621356
4674	2621527
4675	2621556
4676	2621566
4677	2621770
4678	2621803
4679	2621937
4680	2622069
4681	2622207
4682	2622292
4683	2622469
4684	2622616
4685	2622623
4686	2622795
4687	2622811
4688	2622956
4689	2622967
4690	2623047
4691	2623111
4692	2623192
4693	2623616
4694	2623666
4695	2623682
4696	2623790
4697	2623811
4698	2623836
4699	2623934
4700	2624305
4701	2624469
4702	2624526
4703	2624689
4704	2624776
4705	2624953
4706	2625167
4707	2625248
4708	2625401
4709	2625562
4710	2625752
4711	2626248
4712	2626443
4713	2626590
4714	2626614
4715	2626784
4716	2627247
4717	2627417
4718	2627970
4719	2628588
4720	2628792
4721	2629860
4722	2630269
4723	2631357
4724	2631531
4725	2631731
4726	2631744
4727	2631871
4728	2632966
4729	2633268
4730	2633408
4731	2633471
4732	2633511
4733	2633629
4734	2633752
4735	2633869
4736	2633883
4737	2634261
4738	2634366
4739	2634707
4740	2635110
4741	2635139
4742	2635300
4743	2635723
4744	2635906
4745	2635991
4746	2636423
4747	2636615
4748	2637499
4749	2637502
4750	2638437
4751	2638952
4752	2639392
4753	2639513
4754	2639554
4755	2639647
4756	2640240
4757	2640729
4758	2641101
4759	2641393
4760	2641556
4761	2641564
4762	2641887
4763	2642123
4764	2642196
4765	2643522
4766	2643560
4767	2644169
4768	2644479
4769	2644607
4770	2644693
4771	2644908
4772	2645816
4773	2645898
4774	2646221
4775	2646236
4776	2646487
4777	2646711
4778	2646729
4779	2647313
4780	2647523
4781	2647546
4782	2647684
4783	2647818
4784	2647845
4785	2647990
4786	2648025
4787	2648145
4788	2648154
4789	2648325
4790	2648364
4791	2648542
4792	2648713
4793	2648769
4794	2648824
4795	2648940
4796	2648955
4797	2649396
4798	2649470
4799	2649886
4800	2649994
4801	2650208
4802	2650270
4803	2650274
4804	2650388
4805	2650470
4806	2650555
4807	2650835
4808	2651059
4809	2651113
4810	2651207
4811	2651226
4812	2651231
4813	2651359
4814	2651399
4815	2651433
4816	2651509
4817	2651519
4818	2651605
4819	2651622
4820	2651638
4821	2651686
4822	2651695
4823	2651780
4824	2651792
4825	2651875
4826	2651899
4827	2651940
4828	2652005
4829	2652203
4830	2652373
4831	2652456
4832	2652566
4833	2652639
4834	2652743
4835	2653253
4836	2653263
4837	2653312
4838	2653444
4839	2653481
4840	2653783
4841	2653907
4842	2654084
4843	2654326
4844	2654340
4845	2654679
4846	2654953
4847	2655192
4848	2655576
4849	2655752
4850	2655788
4851	2655938
4852	2656060
4853	2656212
4854	2656218
4855	2656242
4856	2656872
4857	2657033
4858	2657180
4859	2657542
4860	2657812
4861	2658166
4862	2658248
4863	2658538
4864	2658661
4865	2659002
4866	2659104
4867	2659375
4868	2659422
4869	2659522
4870	2659546
4871	2659592
4872	2659611
4873	2659705
4874	2659750
4875	2659959
4876	2660827
4877	2661217
4878	2661532
4879	2661580
4880	2661734
4881	2661929
4882	2662144
4883	2662308
4884	2662401
4885	2662492
4886	2662801
4887	2664247
4888	2664487
4889	2664689
4890	2664777
4891	2664883
4892	2665221
4893	2665301
4894	2666187
4895	2666732
4896	2668055
4897	2668073
4898	2668636
4899	2668945
4900	2668984
4901	2670985
4902	2671279
4903	2671486
4904	2671777
4905	2671804
4906	2671947
4907	2672337
4908	2672413
4909	2672538
4910	2672635
4911	2672708
4912	2673281
4913	2673426
4914	2673668
4915	2673974
4916	2675536
